epoch,accuracy,loss,val_accuracy,val_loss
0,0.3634099066257477,1.3317090272903442,0.455331414937973,1.2751541137695312
1,0.64212566614151,1.0012028217315674,0.6772334575653076,0.8956624269485474
2,0.7821754813194275,0.5964404940605164,0.6974063515663147,0.7682764530181885
3,0.8469415903091431,0.4268215298652649,0.6772334575653076,0.7724024653434753
4,0.8718516230583191,0.3435691297054291,0.6887608170509338,0.7970987558364868
5,0.9020204544067383,0.28375858068466187,0.7118155360221863,0.8422918319702148
6,0.9144755005836487,0.24720022082328796,0.7146974205970764,0.862868070602417
7,0.9316357374191284,0.20411954820156097,0.7002881765365601,0.9407918453216553
8,0.9429836869239807,0.1759219765663147,0.7118155360221863,0.9834650754928589
9,0.9546083807945251,0.15149620175361633,0.6916426420211792,1.0531367063522339
10,0.9587600231170654,0.1357526034116745,0.7002881765365601,1.102638840675354
11,0.9626349210739136,0.12416764348745346,0.680115282535553,1.1615444421768188
12,0.9642956256866455,0.1106734573841095,0.6916426420211792,1.2269681692123413
13,0.9692776203155518,0.10438715666532516,0.6916426420211792,1.2273122072219849
14,0.9690008163452148,0.10104208439588547,0.6887608170509338,1.2653788328170776
15,0.971491813659668,0.09301877021789551,0.6974063515663147,1.352712631225586
16,0.975643515586853,0.08687257021665573,0.6916426420211792,1.3386797904968262
17,0.9725989699363708,0.08660945296287537,0.680115282535553,1.3803352117538452
18,0.9745364189147949,0.0820586085319519,0.680115282535553,1.424911618232727
19,0.972045361995697,0.08485537767410278,0.6945244669914246,1.432539939880371
20,0.9761970639228821,0.07966071367263794,0.680115282535553,1.4896520376205444
21,0.975643515586853,0.07073865085840225,0.6887608170509338,1.5267019271850586
22,0.9786880612373352,0.06904233992099762,0.6887608170509338,1.5329304933547974
23,0.9778577089309692,0.064368337392807,0.6916426420211792,1.4945465326309204
24,0.9778577089309692,0.06697270274162292,0.6829971075057983,1.5862596035003662
